,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average
0,32.985763,150000000,1513528810,Jurassic World,124,Action,2015-06-09,5562,6.5
1,28.419936,150000000,378436354,Mad Max: Fury Road,120,Action,2015-05-13,6185,7.1
2,13.112507,110000000,295238201,Insurgent,119,Adventure,2015-03-18,2480,6.3
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,136,Action,2015-12-15,5292,7.5
4,9.335014,190000000,1506249360,Furious 7,137,Action,2015-04-01,2947,7.3
5,9.1107,135000000,532950503,The Revenant,156,Western,2015-12-25,3929,7.2
6,8.654359,155000000,440603537,Terminator Genisys,125,Science Fiction,2015-06-23,2598,5.8
7,7.6674,108000000,595380321,The Martian,141,Drama,2015-09-30,4572,7.6
8,7.40416499999999,74000000,1156730962,Minions,91,Family,2015-06-17,2893,6.5
9,6.326804,175000000,853708609,Inside Out,94,Comedy,2015-06-09,3935,8.0
10,6.200282,245000000,880674609,Spectre,148,Action,2015-10-26,3254,6.2
11,6.189369,176000003,183987723,Jupiter Ascending,124,Science Fiction,2015-02-04,1937,5.2
12,6.118847,15000000,36869414,Ex Machina,108,Drama,2015-01-21,2854,7.6
13,5.984995,88000000,243637091,Pixels,105,Action,2015-07-16,1575,5.8
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,Action,2015-04-22,4304,7.4
15,5.8984,44000000,155760117,The Hateful Eight,167,Crime,2015-12-25,2389,7.4
16,5.749758,48000000,325771424,Taken 3,109,Crime,2015-01-01,1578,6.1
17,5.5731839999999995,130000000,518602163,Ant-Man,115,Science Fiction,2015-07-14,3779,7.0
18,5.556818,95000000,542351353,Cinderella,112,Romance,2015-03-12,1495,6.8
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,136,War,2015-11-18,2380,6.5
20,5.4621379999999995,190000000,209035668,Tomorrowland,130,Action,2015-05-19,1899,6.2
21,5.337064,30000000,91709827,Southpaw,123,Action,2015-06-15,1386,7.3
22,4.907832,110000000,470490832,San Andreas,114,Action,2015-05-27,2060,6.1
23,4.71040199999999,40000000,569651467,Fifty Shades of Grey,125,Drama,2015-02-11,1865,5.3
24,4.648046,28000000,133346506,The Big Short,130,Comedy,2015-12-11,1545,7.3
25,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,131,Action,2015-07-23,2349,7.1
26,4.5645489999999995,68000000,215863606,Ted 2,115,Comedy,2015-06-25,1666,6.3
27,4.503789,81000000,403802136,Kingsman: The Secret Service,130,Crime,2015-01-24,3833,7.6
28,4.062293,20000000,88346473,Spotlight,128,Drama,2015-11-06,1559,7.8
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,132,Action,2015-09-09,1849,6.4
30,3.927333,0,29355203,Mr. Holmes,103,Mystery,2015-06-19,425,6.4
31,3.899557,49000000,102069268,Chappie,120,Crime,2015-03-04,1990,6.6
32,3.877764,29000000,287506194,Pitch Perfect 2,115,Comedy,2015-05-07,1264,6.8
33,3.6482099999999997,40000000,162610473,Bridge of Spies,141,Thriller,2015-10-15,1638,7.1
34,3.6445410000000003,58000000,150170815,Goosebumps,103,Adventure,2015-08-05,600,6.2
35,3.557846,6000000,35401758,Room,117,Drama,2015-10-16,1520,8.0
36,3.358321,0,22354572,Solace,101,Crime,2015-09-03,474,6.2
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,93,Adventure,2015-11-14,1087,6.6
38,3.23737,50000000,71561644,Run All Night,114,Action,2015-03-11,814,6.3
39,3.227329,11000000,62076141,Brooklyn,111,Drama,2015-11-04,754,7.3
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,147,Drama,2015-08-13,918,7.7
41,3.080505,90000000,140396650,The Last Witch Hunter,106,Fantasy,2015-10-21,879,5.6
42,3.0795220000000003,30000000,34441873,Steve Jobs,122,History,2015-10-09,1035,6.9
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,116,Comedy,2015-08-13,1548,7.0
44,3.025852,25000000,42629776,The Age of Adaline,112,Fantasy,2015-04-16,1221,7.3
45,3.023253,10000000,14333790,Hardcore Henry,97,Action,2015-09-12,396,5.9
46,2.976436,135000000,368871007,Home,94,Fantasy,2015-03-18,1060,6.9
47,2.968254,12000000,85512300,Paper Towns,109,Drama,2015-07-09,1252,6.2
48,2.93234,30000000,0,Wild Card,92,Thriller,2015-01-14,481,5.3
49,2.8851259999999996,4000000,9064511,The Lobster,118,Thriller,2015-10-08,638,6.6
50,2.883233,11800000,40272135,Carol,118,Romance,2015-11-20,562,7.1
51,2.8148020000000002,35000000,194564672,The Intern,121,Comedy,2015-09-24,1255,7.1
52,2.7980169999999998,55000000,203427584,Everest,121,Adventure,2015-09-10,1172,6.7
53,2.793297,60000000,101134059,Joy,124,Comedy,2015-12-24,1001,6.4
54,2.6144990000000004,105000000,133718711,Point Break,114,Action,2015-12-03,505,5.5
55,2.584264,20000000,36606743,Burnt,100,Drama,2015-10-02,631,6.3
56,2.578919,26000000,30523226,Self/less,116,Science Fiction,2015-07-10,719,6.2
57,2.575711,60000000,30418560,Mortdecai,106,Comedy,2015-01-21,696,5.3
58,2.557859,15000000,64191523,The Danish Girl,120,Drama,2015-11-27,867,7.3
59,2.5507470000000003,70000000,17752940,Blackhat,133,Mystery,2015-01-13,584,5.0
60,2.487849,30000000,84025816,Sicario,121,Action,2015-09-17,1479,7.1
61,2.4870419999999998,120000001,167977596,Fantastic Four,100,Action,2015-08-05,1565,4.4
62,2.46449,3500000,40423945,The Witch,92,Mystery,2015-03-24,700,5.8
63,2.404473,65000000,235666219,Spy,120,Action,2015-05-06,1840,6.9
64,2.395366,50100000,153962963,Focus,105,Romance,2015-02-25,1831,6.7
65,2.354654,35000000,82347656,Hitman: Agent 47,96,Action,2015-08-20,820,5.5
66,2.345821,100000000,93820758,In the Heart of the Sea,122,Thriller,2015-11-20,805,6.4
67,2.331636,20000000,0,Survivor,96,Crime,2015-05-21,280,5.4
68,2.3315669999999997,35000000,137935567,Creed,133,Drama,2015-11-25,1171,7.3
69,2.31767,35000000,140795793,Trainwreck,125,Comedy,2015-07-17,849,6.1
70,2.29573,13000000,32848185,Eye in the Sky,102,Drama,2015-09-11,265,7.2
71,2.28135,25000000,42972994,Legend,131,Crime,2015-09-09,619,6.7
72,2.2720439999999997,0,45895,Beyond the Reach,95,Thriller,2015-04-17,81,5.5
73,2.234573,150000000,128388320,Pan,111,Adventure,2015-09-24,586,5.9
74,2.165433,0,0,Mythica: The Darkspore,108,Action,2015-06-24,27,5.1
75,2.141506,0,0,Me and Earl and the Dying Girl,105,Comedy,2015-06-12,569,7.7
76,2.140199,99000000,246233113,The Peanuts Movie,88,Adventure,2015-11-05,414,6.4
77,2.121884,35000000,48623572,Concussion,123,Drama,2015-11-12,500,6.9
78,2.096273,25000000,52395996,The Night Before,100,Comedy,2015-11-20,363,6.1
79,2.0809349999999998,2500000,5214043,Knock Knock,99,Drama,2015-06-26,473,4.8
80,2.070708,34000000,63013281,The Longest Ride,128,Romance,2015-04-09,711,7.3
81,2.060162,80000000,466183544,Hotel Transylvania 2,89,Animation,2015-09-21,919,6.8
82,2.055572,17000000,24000000,Love the Coopers,107,Family,2015-11-12,111,5.3
83,2.049886,35000000,61181942,The Walk,123,Adventure,2015-09-30,706,6.8
84,2.0266509999999998,11000000,1863315,Tracers,94,Action,2015-01-15,326,5.9
85,2.000338,31000000,104384188,Vacation,99,Adventure,2015-07-28,846,6.1
86,1.984529,35000000,95437994,Poltergeist,93,Horror,2015-05-20,589,5.0
87,1.9800389999999999,4000000,187112,Maggie,95,Horror,2015-05-08,384,5.1
